Attraction-Inform	Yes
Attraction-Inform!!Addr!!@	address is @
Attraction-Inform!!Area!!@	in the @ side of town
Attraction-Inform!!Choice!!@	I highly recommend checking out @
Attraction-Inform!!Fee!!?	their entrance fee is ?
Attraction-Inform!!Fee!!@	the entrance fee is @
Attraction-Inform!!Name!!@	It is @
Attraction-Inform!!Open!!@	they open at @
Attraction-Inform!!Phone!!@	phone number is @
Attraction-Inform!!Post!!@	their postcode is @
Attraction-Inform!!Price!!@	the price is @
Attraction-Inform!!Type!!@	there are a few @
Attraction-NoOffer	Unfortunately, there aren't any.
Attraction-NoOffer!!Addr!!@	i don't see any attractions at @
Attraction-NoOffer!!Area!!@	There aren't any in @ side of town
Attraction-NoOffer!!Choice!!@	I have no @ available.
Attraction-NoOffer!!Fee!!@	There are none with @ fee
Attraction-NoOffer!!Name!!@	Sorry, I could not find @
Attraction-NoOffer!!Type!!@	Sorry, I could not find any @
Attraction-Recommend	I highly recommend it
Attraction-Recommend!!Addr!!@	address is @
Attraction-Recommend!!Area!!@	in the @ side of town
Attraction-Recommend!!Choice!!@	I highly recommend checking out @
Attraction-Recommend!!Fee!!@	the entrance fee is @
Attraction-Recommend!!Name!!@	It is @
Attraction-Recommend!!Open!!@	they open at @
Attraction-Recommend!!Phone!!@	phone number is @
Attraction-Recommend!!Post!!@	their postcode is @
Attraction-Recommend!!Price!!@	the price is @
Attraction-Recommend!!Type!!@	there are a few @
Attraction-Request!!Area!!?	would you like to try another area?
Attraction-Request!!Name!!?	would you like to try any other place.
Attraction-Request!!Price!!?	are you looking for one with no entrace fees?
Attraction-Request!!Type!!?	what type of attraction would you like to see?
Attraction-Select	would you like to visit that?
Attraction-Select!!Addr!!@	located at @
Attraction-Select!!Area!!@	located in @ of town
Attraction-Select!!Choice!!@	how about @
Attraction-Select!!Fee!!@	the fees are @
Attraction-Select!!Name!!@	you can try @
Attraction-Select!!Phone!!@	their phone number is @
Attraction-Select!!Price!!@	their entrance fee is @
Attraction-Select!!Type!!@	would you like to visit a @
Booking-Book	The booking was successful.
Booking-Book!!Day!!@	on @
